Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000399999990,,Second,Volt
,,,-0.38147997856,-0.00048,
,,,-0.38143998384,-0.00048,
,,,-0.38139998913,-0.00048,
,,,-0.38135999441,-0.00064,
,,,-0.38131999969,-0.00056,
,,,-0.38128000498,-0.00048,
,,,-0.38123998046,-0.00048,
,,,-0.38119998574,-0.00056,
,,,-0.38115999103,-0.00056,
,,,-0.38111999631,-0.00048,
,,,-0.38108000159,-0.00056,
,,,-0.38103997707,-0.00048,
,,,-0.38099998236,-0.00048,
,,,-0.38095998764,-0.00048,
,,,-0.38091999292,-0.00048,
,,,-0.38087999821,-0.00056,
,,,-0.38084000349,-0.00056,
,,,-0.38079997897,-0.00056,
,,,-0.38075998425,-0.00056,
,,,-0.38071998954,-0.00056,
,,,-0.38067999482,-0.00048,
,,,-0.38064000010,-0.00048,
,,,-0.38059997559,-0.00048,
,,,-0.38055998087,-0.00048,
,,,-0.38051998615,-0.00056,
,,,-0.38047999144,-0.00048,
,,,-0.38043999672,-0.00056,
,,,-0.38040000200,-0.00056,
,,,-0.38035997748,-0.00048,
,,,-0.38031998277,-0.00072,
,,,-0.38027998805,-0.00064,
,,,-0.38023999333,-0.00056,
,,,-0.38019999862,-0.00072,
,,,-0.38016000390,-0.00064,
,,,-0.38011997938,-0.00048,
,,,-0.38007998466,-0.00048,
,,,-0.38003998995,-0.00048,
,,,-0.37999999523,-0.00072,
,,,-0.37996000051,-0.00064,
,,,-0.37991997600,-0.00048,
,,,-0.37987998128,-0.00056,
,,,-0.37983998656,-0.00056,
,,,-0.37979999185,-0.00048,
,,,-0.37975999713,-0.00048,
,,,-0.37972000241,-0.00048,
,,,-0.37967997789,-0.00048,
,,,-0.37963998318,-0.00056,
,,,-0.37959998846,-0.00048,
,,,-0.37955999374,-0.00048,
,,,-0.37951999903,-0.00048,
,,,-0.37948000431,-0.00048,
,,,-0.37943997979,-0.00056,
,,,-0.37939998507,-0.00048,
,,,-0.37935999036,-0.00056,
